Node Level 4,Key skill,Direction,Level 1,Level 2,Level 3,Link,Description,Connects To
Swing To Mushu,No,Left,One Arm,Swing,Twisting,https://youtube.com/shorts/PQ9u_RVRfUg,One-arm swing transitioning into Mushu position (horizontal position with specific body configuration),
Nutcrcker Switch,No,Left,One Arm,Spin,Normal,https://youtube.com/shorts/pQPwq2w3vwo?si=JlhWT6ytLL6eBjnj,Transition involving the nutcracker position - changing between different leg/body configurations while maintaining rotation,
Side Swing To 2 Arm Flag,No,Right,Two Arm,Swing,Twisting,https://youtube.com/shorts/qzoISsV5-Zc?si=kgap5Uj5kiOh8x7t,Lateral swing transitioning to two-arm Flag. Control sideways momentum.,
Flare To Flag,yes,Right,Two Arm,Spin,Normal,https://youtube.com/shorts/Rbs7Kw9xKU0,Transition from flare to Flag while rotating. Continuous arm rotation from wrist through body.,
Double Full,No,Left,One Arm,Spin,Normal,https://youtube.com/shorts/SEtrvxISarM?si=e-j--JRd-GoUX6gK,Two complete 360-degree rotations performed consecutively on one arm while spinning,
Straightjacket,No,Right,Two Arm,Spin,Normal,https://youtube.com/shorts/tDNdHqBcsOo?si=Z5XAhNpg1BZ36ylZ,Arms crossed or wrapped while maintaining rotation. Limited arm mobility.,
Double Salto,No,Left,One Arm,Swing,Rotating,https://youtube.com/shorts/tR2kE-mkF5o?si=qq60zBKtuSFc8k-M,Two complete somersaults performed consecutively on one arm while swinging; extreme difficulty move,
Back Candle,No,Left,One Arm,Spin,Center,https://youtube.com/shorts/ubBj-fPzcX0?si=_I4MzlHkTI_JDepb,Back Candle skill,
Back Salto,No,Right,Two Arm,Swing,Rotating,https://youtube.com/shorts/uFZ2-c1vePE,"Backward somersault, likely with release or loose grip.",
Disloc,No,Right,Two Arm,Swing,Rotating,https://youtube.com/shorts/uFZ2-c1vePE?si=NNe87_Q2NvrFPEfP,Shoulder rotation backward through full range. Continuous wrist rotation.,
Meathook,No,Left,One Arm,Spin,Reverse,https://youtube.com/shorts/UiYRfphWzLk,One-arm position with closed legs raised to the side; the hanging arm held tightly to the body with stretched free arm next to the ear; body in a closed hooked shape,
Flare To Full,No,Right,Two Arm,Spin,Normal,https://youtube.com/shorts/Un6PkAhavGQ?si=sqvqQGeKlo5Un5nk,Flare transitioning to fully extended position while rotating.,
Spinning Muscle Up,No,Right,Two Arm,Spin,Center,https://youtube.com/shorts/uWyEd6r3eOY?si=GxIngbc9z_YDafbg,Muscle-up performed while rotating around central straps axis.,
Split Grip To Full,No,Left,One Arm,Spin,Reverse,https://youtube.com/shorts/vYUrKNzxiVA?si=M4pha7tXNSrOL-KO,Transition from split grip to a full rotation/inversion while spinning in reverse direction,
Reverse Mushu,No,Left,One Arm,Spin,Reverse,https://youtube.com/shorts/vYUrKNzxiVA?si=M4pha7tXNSrOL-KO,Mushu position (one-arm horizontal position with specific leg configuration) executed with reverse spin direction; similar to a one-arm Flag with variations in body shape,
Full,No,Left,One Arm,Spin,Normal,https://youtube.com/shorts/wU1eGKGhEtw,Complete 360-degree rotation on one arm; can refer to full turn in spinning or full body rotation,
Front To Front,No,Left,One Arm,Swing,Basics,https://youtube.com/shorts/Z36ukVFnBko,Basic one-arm swinging movement from front position back to front; fundamental swinging pattern,
Nutcracker,No,Right,Two Arm,Spin,Normal,https://youtube.com/shorts/zKKMrqKPJWY,Inverted position with legs separated and turned out. Back stretched pushing hips toward wrist.,
Front Balance,No,Right,Two Arm,Static,Support,,"Horizontal support with locked grip. Shoulders set back, arms bent, palms up on pelvis.",
Side Balance,No,Right,Two Arm,Static,Support,,Support balanced to one side. Weight on one arm with pelvis turned.,
Butterfly,No,Right,Two Arm,Static,Support,,Support variation with open shoulders and extended body line.,
Full To Full,No,Right,Two Arm,Static,Support,,Transition between two fully extended support positions.,
Bent Arm To Handstand,No,Right,Two Arm,Static,Support Ii,,Press to handstand from bent arms. Raise pelvis above shoulders.,
Yamawaki,No,Right,Two Arm,Swing,Rotating,,Named gymnastics skill adapted to straps. Specific rotation pattern.,
Beat To 1 Arm,No,Left,One Arm,Spin,Reverse,,Swinging movement (beat) transitioning into a one-arm hang or position while spinning in reverse direction,
Back,No,Left,One Arm,Swing,Rotating,,Backward swinging movement on one arm; body extends through vertical with open shoulders and natural descent pattern,
Front,No,Left,One Arm,Swing,Rotating Ii,,Forward swinging rotation on one arm; body rotates forward around suspended arm axis,
Front C,No,Down,C-Shaping,Static,C-shaping,,C shaping technique.,
Side C,No,Down,C-Shaping,Static,C-shaping ii,,C shaping technique.,
